"id";"ilan_no";"brand";"model";"year";"loc1";"loc2";"loc3";"loc4";"loc5";"km";"date";"listing_price";"otoendeks_price";"arabam_price";"fuel_Type";"transmission";"body_type";"power";"displacement";"drivewheel";"hard_hit";"owner";"painted_parts";"changed_parts"
"2468";"1086148076";"Opel";"Astra 1.6 Enjoy Plus";"2011";"Türkiye";"Manisa";"Yunusemre";"Merkez";"75";"172000";"1679356800";"455000";"353550";NULL;"Benzin & LPG";"Manuel";"Hatchback 5 kapı";"115 hp";"1598 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2469";"1086956062";"Volvo";"V50 1.8";"2005";"Türkiye";"Ankara";"Pursaklar";"Merkez";"0";"229000";"1679356800";"270000";"0";NULL;"Benzin & LPG";"Manuel";"Station Wagon";"125 hp";"1798 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2470";"1086924152";"Peugeot";"207 1.6 HDi Trendy";"2010";"Türkiye";"İstanbul";"Pendik";"Köyler";"0";"229000";"1679356800";"315000";"257150";NULL;"Dizel";"Manuel";"Station Wagon";"90 hp";"1560 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2471";"1036085174";"Seat";"Ibiza 1.0 Referance";"2016";"Türkiye";"İstanbul";"Beşiktaş";"Gayrettepe";"0";"89500";"1679356800";"450000";"0";NULL;"Benzin";"Manuel";"Hatchback 5 kapı";"75 hp";"999 cc";"Önden Çekiş";"Hayır";"Sahibinden";"0105";
"2472";"1084415248";"Opel";"Astra 1.6 GTC Sport";"2006";"Türkiye";"Ankara";"Keçiören";"Ufuktepe";"0";"315000";"1679356800";"257500";"0";NULL;"Benzin & LPG";"Manuel";"Hatchback 3 kapı";"105 hp";"1598 cc";"Önden Çekiş";"Hayır";"Sahibinden";"010207091013060811120405";
"2473";"1086952484";"Honda";"Civic 1.5 VTEC RS";"2018";"Türkiye";"İstanbul";"Kadıköy";"19 Mayıs";"19";"34000";"1679356800";"860000";"0";NULL;"Benzin";"Otomatik";"Sedan";"176 - 200 HP";"1301 - 1600 cm3";"Önden Çekiş";"Hayır";"Sahibinden";"01";
"2474";"1086959401";"Toyota";"Corolla 1.4 Linea Terra";"2001";"Türkiye";"İstanbul";"Ümraniye";"Atakent";"0";"151800";"1679356800";"255000";"0";NULL;"Benzin";"Manuel";"Sedan";"97 hp";"1398 cc";"Önden Çekiş";"Hayır";"Sahibinden";"070913";"0608"
"2475";"1086952609";"Ford";"Focus 1.6 TDCi Trend X";"2009";"Türkiye";"Gaziantep";"Şehitkamil";"Merkez";"0";"260000";"1679356800";"295000";"294100";NULL;"Dizel";"Manuel";"Hatchback 5 kapı";"90 hp";"1560 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2476";"1086964128";"Ford";"Focus 1.5 TDCi Titanium";"2019";"Türkiye";"Denizli";"Merkezefendi";"Bereketli";"0";"125000";"1679356800";"976000";"532327";NULL;"Dizel";"Otomatik";"Sedan";"120 hp";"1499 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2477";"1086949391";"Renault";"Clio 1.5 dCi Touch";"2015";"Türkiye";"Diyarbakır";"Kayapınar";"Kayapınar";"0";"161000";"1679356800";"410000";"365474";NULL;"Dizel";"Manuel";"Hatchback 5 kapı";"75 hp";"1461 cc";"Önden Çekiş";"Hayır";"Sahibinden";"04";
"2478";"1086394987";"Renault";"Megane 1.5 dCi Touch";"2018";"Türkiye";"Adana";"Kozan";"Şevkiye";"0";"103907";"1679356800";"685000";"617571";NULL;"Dizel";"Yarı Otomatik";"Sedan";"110 hp";"1461 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2479";"1076094169";"Renault";"Megane 1.6 RXT";"2000";"Türkiye";"Ankara";"Yenimahalle";"A.O.Çiftliği(Aoç)";"0";"144000";"1679356800";"295000";"0";NULL;"Benzin & LPG";"Manuel";"Sedan";"101 - 125 HP";"1301 - 1600 cm3";"Önden Çekiş";"Hayır";"Sahibinden";;
"2480";"1086949532";"Toyota";"Yaris 1.3 Sol";"2000";"Türkiye";"İstanbul";"Beykoz";"Çavuşbaşı";"0";"247000";"1679356800";"251500";"0";NULL;"Benzin & LPG";"Manuel";"Hatchback 5 kapı";"86 hp";"1299 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2481";"1086927100";"Opel";"Astra 1.4 T Enjoy Active";"2015";"Türkiye";"Adana";"Yüreğir";"Anadolu";"0";"56200";"1679356800";"615000";"493491";NULL;"Benzin";"Otomatik";"Hatchback 5 kapı";"140 hp";"1364 cc";"Önden Çekiş";"Hayır";"Sahibinden";"011305";
"2482";"1086961630";"Peugeot";"206 1.4 X-Design";"2006";"Türkiye";"Ankara";"Çankaya";"Gaziosmanpaşa(Gop)";"0";"204000";"1679356800";"250000";"179086";NULL;"Benzin & LPG";"Manuel";"Hatchback 5 kapı";"75 hp";"1360 cc";"Önden Çekiş";"Evet";"Sahibinden";"01020709081204";"0605"
"2483";"1086964129";"Opel";"Corsa 1.4 Essentia";"2016";"Türkiye";"İstanbul";"Ataşehir";"Ataşehir";"0";"100000";"1679356800";"490000";"455729";NULL;"Benzin";"Otomatik";"Hatchback 5 kapı";"76 - 100 HP";"1301 - 1600 cm3";"Önden Çekiş";"Hayır";"Sahibinden";;
