,brand_model,year,km,fuel_type,transmission,body_type,power,displacement,drivewheel,hard_hit,painted_parts,changed_parts,listing_price,age
1884,Mercedes - Benz C Serisi C 200 d BlueTEC AMG,2016,170000,Dizel,Yarı Otomatik,Station Wagon,136.0,1.6,Arkadan İtiş,0,,,1180000,7.0
1885,Renault Megane 1.2 TCe Touch,2016,31750,Benzin,Manuel,Hatchback 5 kapı,130.0,1.2,Önden Çekiş,0,,,540000,7.0
1886,Ford Fiesta 1.4 TDCi Trend,2011,143588,Dizel,Manuel,Hatchback 5 kapı,70.0,1.4,Önden Çekiş,0,"front-left-mudguard,rear-left-door",front-right-mudguard,386000,12.0
1887,Renault Clio 1.0 SCe Joy,2022,24000,Benzin,Manuel,Hatchback 5 kapı,72.0,1.0,Önden Çekiş,0,,,485000,1.0
1888,Toyota Auris 1.6 Advance Skypack,2014,196000,Benzin & LPG,Yarı Otomatik,Hatchback 5 kapı,132.0,1.6,Önden Çekiş,0,,,590000,9.0
1889,Fiat Egea 1.4 Fire Easy,2017,79000,Benzin & LPG,Manuel,Sedan,95.0,1.4,Önden Çekiş,0,,,418000,6.0
1890,Renault Fluence 1.5 dCi Touch Plus,2013,133000,Dizel,Otomatik,Sedan,110.0,1.5,Önden Çekiş,0,"rear-right-mudguard,rear-left-mudguard",,508500,10.0
1891,Toyota Corolla 1.6 Dream,2020,25000,Benzin,Yarı Otomatik,Sedan,132.0,1.6,Önden Çekiş,0,,,810000,3.0
1892,Opel Astra 1.3 CDTI Sport,2013,94500,Dizel,Manuel,Hatchback 5 kapı,95.0,1.2,Önden Çekiş,0,,,565000,10.0
1893,Fiat Punto Grande 1.3 Multijet Dynamic,2009,155000,Dizel,Manuel,Hatchback 5 kapı,75.0,1.2,Önden Çekiş,0,,,330000,14.0
1894,Audi A3 A3 Sportback 1.6 TDI Ambition,2016,138000,Dizel,Yarı Otomatik,Hatchback 5 kapı,110.0,1.6,Önden Çekiş,0,rear-right-mudguard,,860000,7.0
1895,Peugeot 508 1.5 BlueHDi Allure,2019,104500,Dizel,Otomatik,Sedan,130.0,1.5,Önden Çekiş,0,,,1120000,4.0
